Month,0,1,2,3,4,5,6
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,0.14772858023035595,0.15501068695282422,0.14692990633580932,0.13714845889002222,0.15232203522266033,0.2152938857527298,0.3778883249643348
6,0.14631287099154502,0.1409001908526146,0.13599948413250976,0.13760057695196343,0.14610896964967193,0.22666373093037964,0.24191447798080878
7,0.14456066907409548,0.14621247258584524,0.15099658371343191,0.16687633039340757,0.14884463176502088,0.2821578332866694,0.23030045864593535
8,,,,,,,
9,,,,,,,
10,,,,,,,
11,,,,,,,
12,,,,,,,
